actor,total movies
Taye Diggs,7
Mia Wasikowska,7
James Gandolfini,7
Emma Watson,7
Matthew Lillard,7
Andrew Garfield,7
Dave Bautista,7
F. Murray Abraham,7
Claire Danes,7
Joseph Fiennes,7
Audrey Tautou,7
Kelsey Grammer,7
Thandie Newton,7
Hank Azaria,7
Diane Kruger,7
Regina Hall,7
Charlie Hunnam,7
Liam Hemsworth,7
Jason Biggs,7
Leonard Nimoy,7
Delroy Lindo,7
John Krasinski,7
Thomas Haden Church,7
Logan Lerman,7
Karl Urban,7
Sarah Jessica Parker,7
Lucy Liu,7
Ali Larter,7
Henry Cavill,7
Sam Worthington,7
Andy Samberg,7
Ian McShane,7
Tom Sizemore,7
Scoot McNairy,6
Zoe Kazan,6
Rowan Atkinson,6
Danny Aiello,6
Sara Paxton,6
Bruce Campbell,6
Diane Venora,6
Maggie Gyllenhaal,6
Rip Torn,6
Eric Roberts,6
Judy Greer,6
Timothy Hutton,6
Eddie Marsan,6
Shannon Elizabeth,6
Camilla Belle,6
Mike Epps,6
Kirk Douglas,6
Eddie Griffin,6
Katharine Hepburn,6
Jesse Bradford,6
Rob Lowe,6
Robin Tunney,6
Embeth Davidtz,6
Connie Nielsen,6
Leslie Bibb,6
America Ferrera,6
Alexa PenaVega,6
James Spader,6
John Heard,6
Daniel Stern,6
Laurence Olivier,6
Julie Christie,6
Courteney Cox,6
Matthew Davis,6
Denise Richards,6
Burt Lancaster,6
Peter Sellers,6
Campbell Scott,6
Kyle MacLachlan,6
Jason Schwartzman,6
Brittany Murphy,6
Dylan McDermott,6
Bruce Greenwood,6
Ryan O'Neal,6
Malcolm McDowell,6
Jessica Tandy,6
Christopher Eccleston,6
Judge Reinhold,6
Shailene Woodley,6
Dougray Scott,6
Dev Patel,6
Rob Corddry,6
Peter O'Toole,6
Dom DeLuise,6
Randy Quaid,6
Jason Patric,6
Rutger Hauer,6
Mia Farrow,6
Jordana Brewster,6
Edward Furlong,6
Sondra Locke,6
Keith David,6
Saffron Burrows,6
Shannyn Sossamon,6
Patricia Clarkson,6
Bryan Greenberg,6
Emma Roberts,6
Anya Taylor-Joy,6
Tony Chiu-Wai Leung,6
Kim Cattrall,6
Denis Leary,6
Macaulay Culkin,6
Michael Pitt,6
Martin Landau,6
Brian Dennehy,6
Demián Bichir,6
Devon Sawa,6
Joey Lauren Adams,6
Lea Thompson,6
Herbert Lom,6
Barbra Streisand,6
Aaron Taylor-Johnson,6
Orlando Bloom,6
Alexander Skarsgård,6
Andrea Riseborough,6
Rebecca De Mornay,6
Bob Hoskins,6
Dakota Johnson,6
Gérard Depardieu,6
Piper Perabo,6
Abbie Cornish,6
Penelope Ann Miller,6
Judy Davis,6
Armand Assante,6
Rachael Leigh Cook,6
Jada Pinkett Smith,6
Mary McCormack,6
Hilary Duff,6
Chadwick Boseman,6
Maya Rudolph,6
Cam Gigandet,6
Jacob Tremblay,6
Beverly D'Angelo,6
Jaime King,6
Daniel Brühl,6
William Shatner,6
DeForest Kelley,6
Li Gong,6
Cedric the Entertainer,6
Juliette Binoche,6
Domhnall Gleeson,6
Tyrese Gibson,6
Noomi Rapace,6
Heath Ledger,6
Whoopi Goldberg,6
Bryan Cranston,6
Ciarán Hinds,6
Blake Lively,6
Michael Gambon,6
Sacha Baron Cohen,6
Haley Joel Osment,6
Hugh Laurie,6
Edgar Ramírez,6
Freddie Highmore,6
Elisabeth Moss,5
Mark Webber,5
Michael Rooker,5
Kyra Sedgwick,5
Jon Favreau,5
Chris Eigeman,5
James Le Gros,5
Elizabeth Daily,5
Peter Fonda,5
Humphrey Bogart,5
Jon Heder,5
Lukas Haas,5
Caroline Aaron,5
Rory Culkin,5
David Cross,5
Martin Donovan,5
Matt O'Leary,5
Linda Hamilton,5
Charlton Heston,5
Ari Graynor,5
Billy Zane,5
Octavia Spencer,5
James Stewart,5
Trey Parker,5
Sanaa Lathan,5
Michelle Rodriguez,5
David Strathairn,5
Colin Hanks,5
Josh Peck,5
Scott Caan,5
Emmanuelle Chriqui,5
Stephen Lang,5
Tim Curry,5
Peter Coyote,5
Frances O'Connor,5
Dan Hedaya,5
Keri Russell,5
Naomie Harris,5
Sheri Moon Zombie,5
James Remar,5
